編號,供應商簡稱,分類
20143,薇恩·蜜媛,農產品/原住民/花東
20161,新福源花生醬-二代店,食品加工品
20214,唯素主義-素食,#N/A
20305,榫技研,電器3c/美妝
20375,Celtic 法國喜爾天然礦泉水,飲料
20439,湧升海洋,生鮮水產/肉品
20450,十方苑,甜點
20490,多力米烘焙,#N/A
20537,⭐️安德森樂園⭐️,幼兒相關
20598,臨春堂 無毒燕窩,飲料
20625,2021社會企業,#N/A
20630,鳳荷日荔,#N/A
20665,小農小市/花心田手作,#N/A
20698,花蓮玉里 阿強西瓜,水果
20733,六香田-比花東米更好吃(原農糧小舖),農產品/原住民/花東
20766,安溯市集,#N/A
20809,小善心農場,水果
20813,一本庄園-咖啡,運動/園藝/生活/其他
20835,綠安生活,農產品/原住民/花東
20837,EARTH FRIEND ,運動/園藝/生活/其他
20839,維亨有機食品行,食品加工品
20841,匠心茗茶。台灣高山烏龍茶專賣,#N/A
20858,古坑栗子南瓜,#N/A
20865,一禾田有機轉型期自然生態米,#N/A
20908,櫻桃蜜貼,#N/A
20926,邦克木地板,運動/園藝/生活/其他
20957,寶寶餵有限公司,幼兒相關
20978,邦查農場,農產品/原住民/花東
21012,SHOW BEST ,運動/園藝/生活/其他
21074,陽光菓菓,食品加工品
21088,松本有機農場,茶/咖啡
21152,許銓玩具,幼兒相關
21219,堤園農場,#N/A
21287,明山有機農園,#N/A
21463,Reise米膚保養,#N/A
21479,禾田村,#N/A
21646,Beauty Slim,#N/A
21665,荳芮米DoReMi Nut堅果,#N/A
21734,小紅牛番茄,水果
21793,菩提子果園,水果
21866,馬太鞍咖啡農場,運動/園藝/生活/其他
21946,卡馬龍 巨無霸白晶蝦,生鮮水產/肉品
21981,K･S Beauty  ,電器3c/美妝
22135,5012生態果園,水果
22146,明全牧場 玻璃瓶鮮乳,牧場鮮奶
22154,Red Best Coffee,#N/A
22174,ILemon 愛檸檬,水果
22176,新竹尖石 泰崗部落,水果
22299,i曼果  手工精緻烘焙果乾/手作水果冰淇淋,食品加工品
22385,ecofiber,運動/園藝/生活/其他
22401,丸子王爆漿貢丸,食品加工品
22430,小小自然農耕農場,水果
22443,品閤戶外生活居家雜貨,運動/園藝/生活/其他
22447,框外坊 ,#N/A
22624,惠芸有機蔬果園,水果
22626,固塞樂,運動/園藝/生活/其他
22631,麻豆文旦 麻吉柚果園,水果
22641,花生田農產販賣所,#N/A
22677,1982 de glacée 法式冰淇淋,冰品
22760,一品饕 雲端禮坊,甜點
22774,織谷-誠實良品,食品加工品
22875,左岸幸福莊園,#N/A
23103,麻豆銓珍柚子園,#N/A
23163,Mr.HONEY 蜂蜜先生,農產品/原住民/花東
23193,第7代茶農~祥鼎製茶,#N/A
23315,兩粒小農,#N/A
23324,糧心成食,農產品/原住民/花東
23330,台中東勢 大雪山絹水梨,水果
23337,禾餘周邊,#N/A
23364,阿鳳芭樂,水果
23444,菇早味農場,#N/A
23503,勝利VICTOR羽毛球,運動/園藝/生活/其他
23633,果子俠 農創果品,茶/咖啡
23680,台中梨山 杜大哥上海水蜜桃,#N/A
23743,CasaLuker,甜點
23802,台灣好水果,#N/A
23808,苗栗卓蘭 光輝伯的巨峰葡萄,水果
23818,永豐無毒白龍果,#N/A
23927,永良商行,甜點
24015,陳家農舍,農產品/原住民/花東
24021,富琳嚴選,#N/A
24043,潭子好康家,#N/A
24047,大甲 香芋,農產品/原住民/花東
24074,天和鮮物,生鮮水產/肉品
24084,盛洋冷凍,食品加工品
24085,"南投咖啡, 中寮咖啡︱晨雅咖啡豆專賣店",#N/A
24147,米羅汽車美容用品,運動/園藝/生活/其他
24304,國姓爺黑豬肉專賣店,#N/A
24315,瀑布活米,#N/A
24356,綠葉茶園,茶/咖啡
24562,阿美韓式泡菜,#N/A
24602,真食本舖,農產品/原住民/花東
24608,祥豪牧場 羊舍鮮羊乳,牧場鮮奶
24751,台中梨山 居山農場雪梨,水果
24817,雷夢兄弟,農產品/原住民/花東
25002,台南鹽水 郭伯的傳家酪梨,水果
25035,响銅鑼客棧,#N/A
25187,林清清mini果園,#N/A
25401,東東玩具店 樂高系列,幼兒相關
25443,精油市集,運動/園藝/生活/其他
25447,月熊培爾,茶/咖啡
25533,隆之園 無毒蔬果,水果
25558,南投中寮 廖阿公柴燒龍眼乾,農產品/原住民/花東
25713,白川自然食/白川胡椒養生熬煮,#N/A
25768,H8898,運動/園藝/生活/其他
25793,喜作物 kibutu 天然零添加飲品專門店,飲料
25845,中寮張家莊,#N/A
25853,台中梨山 老杜的高山蘋果,水果
25955,奶油麵包烘焙坊bread&butter bakery,食品加工品
25976,SOY&CO1879.果妍醬油,食品加工品
26027,南投阿霞龍眼乾,#N/A
26044,南投埔里 游伯伯的良心百香果,水果
26056,僑緻美學生活館,#N/A
26226,富麗有機農場,農產品/原住民/花東
26269,zero+,#N/A
26271,SOLiDE,電器3c/美妝
26335,另果啾喜童樂會,運動/園藝/生活/其他
26495,頤荷蜜鑽,#N/A
26511,你今天吃麥片了嗎?,#N/A
26612,三風麵館,食品加工品
26735,艾蛙媽二手市集,電器3c/美妝
26882,元仔傳統手工皂,電器3c/美妝
27170,山微光-Petrichor-友善農選,#N/A
27228,台南白河 家銘的無毒蓮藕,水果
27300,美猴王誠書的大雪山甜柿,水果
27347,彰化社頭 建裕哥的珍珠芭樂,水果
27373,黑密碼,飲料
27376,苗栗銅鑼 美貴姐的無毒紅棗乾,農產品/原住民/花東
27414,MR.GEORGE COFFEE ST,茶/咖啡
27419,禾采手工坊,農產品/原住民/花東
27488,瑪尼香品 香道品香,#N/A
27514,果蒔制研所ColorFruit,#N/A
27593,Caudabe,電器3c/美妝
28120,石棹 富山製茶,#N/A
28123,21工房,食品加工品
28152,芭梨果園,#N/A
28210,花蓮瑞穗果樹產銷班,#N/A
28251,南投中寮 廖阿公無農藥柑橘,水果
28258,紐登斯優格,食品加工品
28279,台中梨山 賴桑本產奇異果,水果
28416,苗栗銅鑼 永宏的無毒芋頭角,農產品/原住民/花東
28458,貝殼夫人Lady Bake,#N/A
28487,后棧奎府實業股份有限公司,生鮮水產/肉品
28488,台宗美而香,#N/A
28512,台東阿揚的佛心釋迦園,水果
28549,鵝寶手作坊,電器3c/美妝
28594,X,#N/A
28630,醒時茶栽,#N/A
28642,阿嬤的私房菜,茶/咖啡
28647,綠色穗稻有機米,#N/A
28657,太皇金養妍霜,#N/A
28665,CoolBitX Ltd.,電器3c/美妝
28718,Jardin.7 流行女裝,#N/A
28751,澳洲果寶 Mum To Be & Baby,電器3c/美妝
28767,茶水部 LittoTea,茶/咖啡
28794,阿琴媽媽 / 蔬活廚房,#N/A
28848,拾年農場(瑞禾國際),#N/A
28954,台南東山 吳阿伯古法烘焙龍眼乾,農產品/原住民/花東
28976,台東太麻里 俊儀的無農藥釋迦,水果
29136,ipa,運動/園藝/生活/其他
29138,LINKIFE,運動/園藝/生活/其他
29139,大好吉日,運動/園藝/生活/其他
29142,Handground,運動/園藝/生活/其他
29144,bonavita,電器3c/美妝
29159,究好豬,生鮮水產/肉品
29162,弘農果園,水果
29169,施家小番茄,#N/A
29194,Pure 純,電器3c/美妝
29223,仁和養殖場,生鮮水產/肉品
29339,格外農品,食品加工品
29393,水餃星球,#N/A
29586,梁家棗園,水果
29636,雙美人牌 薄鹽黑豆甕底油膏 X 黑豆蔭油,#N/A
